dep,week,pop,P,cl_age90
1,2020-S37,7395,5,90
1,2020-S37,656955,500,0
1,2020-S38,83001,48,9
1,2020-S38,84665,88,19
1,2020-S38,65496,118,29
1,2020-S38,85588,114,39
1,2020-S38,89678,126,49
1,2020-S38,89791,79,59
1,2020-S38,73500,32,69
1,2020-S38,51011,35,79
1,2020-S38,26830,15,89
1,2020-S38,7395,5,90
1,2020-S38,656955,660,0
1,2020-S39,83001,15,9
1,2020-S39,84665,65,19
1,2020-S39,65496,131,29
1,2020-S39,85588,65,39
1,2020-S39,89678,78,49
1,2020-S39,89791,82,59
1,2020-S39,73500,47,69
1,2020-S39,51011,29,79
1,2020-S39,26830,10,89
1,2020-S39,7395,4,90
1,2020-S39,656955,526,0
1,2020-S40,83001,14,9
1,2020-S40,84665,94,19
1,2020-S40,65496,123,29
1,2020-S40,85588,94,39
1,2020-S40,89678,96,49
1,2020-S40,89791,86,59
1,2020-S40,73500,45,69
1,2020-S40,51011,25,79
1,2020-S40,26830,13,89
1,2020-S40,7395,9,90
1,2020-S40,656955,599,0
2,2020-S21,62312,0,9
2,2020-S21,67540,1,19
2,2020-S21,51443,4,29
2,2020-S21,62599,1,39
2,2020-S21,64812,7,49
2,2020-S21,70352,6,59
2,2020-S21,69077,8,69
2,2020-S21,45371,4,79
2,2020-S21,25627,9,89
2,2020-S21,6917,1,90
2,2020-S21,526050,41,0
2,2020-S22,62312,2,9
2,2020-S22,67540,0,19
2,2020-S22,51443,3,29
2,2020-S22,62599,7,39
2,2020-S22,64812,4,49
2,2020-S22,70352,4,59
2,2020-S22,69077,8,69
2,2020-S22,45371,3,79
2,2020-S22,25627,6,89
2,2020-S22,6917,6,90
2,2020-S22,526050,43,0
2,2020-S23,62312,0,9
2,2020-S23,67540,0,19
2,2020-S23,51443,3,29
2,2020-S23,62599,4,39
2,2020-S23,64812,1,49
2,2020-S23,70352,2,59
2,2020-S23,69077,6,69
2,2020-S23,45371,4,79
2,2020-S23,25627,18,89
2,2020-S23,6917,9,90
2,2020-S23,526050,47,0
2,2020-S24,62312,0,9
2,2020-S24,67540,1,19
2,2020-S24,51443,2,29
2,2020-S24,62599,1,39
2,2020-S24,64812,5,49
2,2020-S24,70352,3,59
2,2020-S24,69077,5,69
2,2020-S24,45371,5,79
2,2020-S24,25627,14,89
2,2020-S24,6917,4,90
2,2020-S24,526050,40,0
2,2020-S25,62312,0,9
2,2020-S25,67540,1,19
2,2020-S25,51443,4,29
2,2020-S25,62599,1,39
2,2020-S25,64812,1,49
2,2020-S25,70352,0,59
2,2020-S25,69077,1,69
2,2020-S25,45371,4,79
2,2020-S25,25627,8,89
2,2020-S25,6917,4,90
2,2020-S25,526050,24,0
2,2020-S26,62312,0,9
2,2020-S26,67540,0,19
2,2020-S26,51443,5,29
2,2020-S26,62599,3,39
2,2020-S26,64812,3,49
2,2020-S26,70352,0,59
2,2020-S26,69077,2,69
2,2020-S26,45371,5,79
2,2020-S26,25627,2,89
2,2020-S26,6917,0,90
2,2020-S26,526050,20,0
2,2020-S27,62312,3,9
2,2020-S27,67540,3,19
2,2020-S27,51443,2,29
2,2020-S27,62599,2,39
2,2020-S27,64812,3,49
2,2020-S27,70352,1,59
2,2020-S27,69077,2,69
2,2020-S27,45371,3,79
2,2020-S27,25627,0,89
2,2020-S27,6917,1,90
2,2020-S27,526050,20,0
2,2020-S28,62312,0,9
2,2020-S28,67540,3,19
2,2020-S28,51443,4,29
2,2020-S28,62599,0,39
2,2020-S28,64812,0,49
2,2020-S28,70352,3,59
2,2020-S28,69077,2,69
2,2020-S28,45371,4,79
2,2020-S28,25627,5,89
2,2020-S28,6917,3,90
2,2020-S28,526050,24,0
2,2020-S29,62312,0,9
2,2020-S29,67540,0,19
2,2020-S29,51443,3,29
2,2020-S29,62599,2,39
2,2020-S29,64812,1,49
2,2020-S29,70352,1,59
2,2020-S29,69077,2,69
2,2020-S29,45371,0,79
2,2020-S29,25627,0,89
2,2020-S29,6917,1,90
2,2020-S29,526050,10,0
2,2020-S30,62312,1,9
2,2020-S30,67540,1,19
2,2020-S30,51443,8,29
2,2020-S30,62599,3,39
2,2020-S30,64812,2,49
2,2020-S30,70352,0,59
2,2020-S30,69077,3,69
2,2020-S30,45371,2,79
2,2020-S30,25627,1,89
2,2020-S30,6917,2,90
2,2020-S30,526050,23,0
2,2020-S31,62312,2,9
2,2020-S31,67540,2,19
2,2020-S31,51443,0,29
2,2020-S31,62599,3,39
2,2020-S31,64812,1,49
2,2020-S31,70352,1,59
2,2020-S31,69077,2,69
2,2020-S31,45371,2,79
2,2020-S31,25627,3,89
2,2020-S31,6917,1,90
2,2020-S31,526050,17,0
2,2020-S32,62312,4,9
2,2020-S32,67540,4,19
2,2020-S32,51443,2,29
2,2020-S32,62599,2,39
2,2020-S32,64812,6,49
2,2020-S32,70352,2,59
2,2020-S32,69077,2,69
2,2020-S32,45371,6,79
2,2020-S32,25627,1,89
2,2020-S32,6917,0,90
2,2020-S32,526050,29,0
2,2020-S33,62312,0,9
2,2020-S33,67540,4,19
2,2020-S33,51443,7,29
2,2020-S33,62599,1,39
2,2020-S33,64812,2,49
2,2020-S33,70352,5,59
2,2020-S33,69077,5,69
2,2020-S33,45371,2,79
2,2020-S33,25627,1,89
2,2020-S33,6917,0,90
2,2020-S33,526050,27,0
2,2020-S34,62312,2,9
2,2020-S34,67540,4,19
2,2020-S34,51443,34,29
2,2020-S34,62599,6,39
2,2020-S34,64812,8,49
2,2020-S34,70352,6,59
2,2020-S34,69077,3,69
2,2020-S34,45371,2,79
2,2020-S34,25627,1,89
2,2020-S34,6917,2,90
2,2020-S34,526050,68,0
2,2020-S35,62312,4,9
2,2020-S35,67540,8,19
2,2020-S35,51443,25,29
2,2020-S35,62599,16,39
2,2020-S35,64812,17,49
2,2020-S35,70352,10,59
2,2020-S35,69077,4,69
2,2020-S35,45371,5,79
2,2020-S35,25627,3,89
2,2020-S35,6917,0,90
2,2020-S35,526050,92,0
2,2020-S36,62312,4,9
2,2020-S36,67540,22,19
2,2020-S36,51443,25,29
2,2020-S36,62599,26,39
2,2020-S36,64812,13,49
2,2020-S36,70352,13,59
2,2020-S36,69077,4,69
2,2020-S36,45371,5,79
2,2020-S36,25627,1,89
2,2020-S36,6917,0,90
2,2020-S36,526050,113,0
2,2020-S37,62312,8,9
2,2020-S37,67540,38,19
2,2020-S37,51443,61,29
2,2020-S37,62599,21,39
2,2020-S37,64812,24,49
2,2020-S37,70352,15,59
2,2020-S37,69077,17,69
2,2020-S37,45371,8,79
2,2020-S37,25627,1,89
2,2020-S37,6917,2,90
2,2020-S37,526050,195,0
2,2020-S38,62312,13,9
2,2020-S38,67540,59,19
2,2020-S38,51443,60,29
2,2020-S38,62599,31,39
2,2020-S38,64812,25,49
2,2020-S38,70352,23,59
2,2020-S38,69077,14,69
2,2020-S38,45371,13,79
2,2020-S38,25627,5,89
2,2020-S38,6917,3,90
2,2020-S38,526050,246,0
2,2020-S39,62312,8,9
2,2020-S39,67540,46,19
2,2020-S39,51443,47,29
2,2020-S39,62599,36,39
2,2020-S39,64812,33,49
2,2020-S39,70352,34,59
2,2020-S39,69077,22,69
2,2020-S39,45371,20,79
2,2020-S39,25627,8,89
2,2020-S39,6917,1,90
2,2020-S39,526050,255,0
2,2020-S40,62312,14,9
